,permno,date,ret,pred
313,55976,202105,0.019084,0.15470222165847775
314,55976,202009,0.007634,0.10039231835873746
315,55976,202011,0.101189,0.16814060366046418
316,92655,202109,-0.057847,0.16974023477248407
317,14542,202004,0.159828,-0.04806117815960309
318,66181,202111,0.077662,0.29735402517269166
319,47896,202102,0.143779,0.14736900711915896
320,55976,202112,0.032781,0.2074274526240379
321,22111,202010,-0.079057,0.1680581762436904
322,22111,202006,-0.054588,0.1251597122068106
323,22111,202002,-0.09028,0.12650456652806102
324,47896,201808,-0.003219,0.0385454269569363
325,14542,201903,0.047673,0.07141665605556752
326,90319,201912,0.027069,0.11899051837286706
327,14542,201807,0.091077,0.1525782804825399
328,14542,201902,0.00318,-0.004851139433407814
329,92655,202108,0.009825,0.20375417825033743
330,92655,202106,-0.024349,0.20673864771487277
331,55976,202110,0.072033,0.1826435480889939
332,47896,202101,0.019674,0.08153148232364743
333,92611,202109,-0.027717,0.2108343233544247
334,14542,201803,-0.066025,0.08165142211241977
335,13407,201903,0.032456,0.09158517143058159
336,47896,201809,-0.015186,0.06575314081723643
337,92611,202106,0.028685,0.20655184223631445
338,13407,201804,0.076413,0.12179147175711696
339,14542,201906,-0.020587,0.11406059527727636
340,83443,202106,-0.039801,0.2294824913840358
341,22111,202001,0.020566,0.16834666476711918
342,22111,202008,0.059413,0.2143180760999968
343,55976,202104,0.030038,0.15324492739726164
344,14542,201812,-0.053745,0.029463284103285636
345,22111,202012,0.08778,0.18704194764771703
346,83443,202111,-0.035957,0.1893603775223735
347,47896,201810,-0.026764,0.022781588502212624
348,83443,202109,-0.044896,0.2208548159168901
349,14542,201806,0.028258,0.081565439759328
350,92655,202107,0.029418,0.17018064552958162
351,91233,202108,-0.102892,0.20922377978428658
352,90319,201911,0.035979,0.09003688554219097
353,47896,201905,-0.086945,-0.14343003750400868
354,14542,201811,0.016401,0.12296040553543092
355,92655,202105,0.032899,0.18282072897049623
356,47896,201910,0.06908,-0.048751662014375086
357,47896,201908,-0.052931,-0.10630795313895836
358,14542,201907,0.125607,0.008444340678410545
359,22111,201905,-0.064448,0.0948398425423363
360,92611,202110,-0.049293,0.18293414801877422
361,91233,202105,-0.056222,0.1940187086710931
362,22111,201811,0.05579,0.1858390039982875
363,22111,201801,-0.01095,0.12735649759189155
364,47896,201804,-0.005729,0.047328209219048345
365,86580,202105,0.082281,0.07655958672145075
366,22111,201904,0.010087,0.12026774921200606
367,22111,201802,-0.054056,0.0728050651615143
368,47896,201801,0.086871,0.15700142180932336
369,47896,201805,-0.016271,0.04510488594743506
370,92611,202101,-0.116491,0.11843930291476262
371,22111,201810,0.013172,0.16962547746333917
372,22111,202007,0.036479,0.15166420392652508
373,11850,201802,-0.123597,0.1638045667351707
374,22111,201907,-0.065049,0.07558232463865172
375,47896,201812,-0.122043,-0.1311416694775871
376,83443,202108,0.026878,0.2265981868368902
377,83443,202107,0.001331,0.22737879267471656
378,92655,202110,0.178456,0.24883037669415692
379,90319,201809,-0.020068,0.196317453495312
380,93436,202011,0.462736,0.10298251567551092
381,55976,202103,0.049723,0.11832989685968637
382,83443,202105,0.0527,0.19013144270405907
383,90319,201808,0.003732,0.1829180028781065
384,55976,202008,0.077203,0.11876408248286024
385,47896,201811,0.019905,-0.03241298256262071
386,90319,201910,0.03084,0.06701778294775912
387,14542,201801,0.118062,0.17068607406585062
388,90319,201908,-0.022714,0.020493477410901184
389,13407,201811,-0.073654,0.049499696674781435
390,47896,201806,-0.026259,0.06686899913330902
391,59408,202112,0.005172,0.20113961383845652
392,22111,201903,0.023053,0.08276049380490541
393,59408,202106,-0.023119,0.15466799106061985
394,47896,201907,0.044723,-0.08980858700158872
395,14542,201901,0.077983,0.040294030055596175
396,22111,201912,0.06095,0.1046833854231301
397,83443,202110,0.05155,0.18709894121836762
398,22111,201809,0.025837,0.2113906010449222
399,22111,202011,0.062577,0.23130938302321707
400,83443,202112,0.080632,0.24245542340662735
401,14542,201804,-0.014015,0.02779945113445259
402,90319,201810,-0.096514,0.19397236808712665
403,92611,202103,-0.003108,0.2116343576830199
404,11850,201810,-0.062809,0.2068572716048917
405,47896,202012,0.077961,0.03308161267973281
406,92611,202104,0.103103,0.19704404618966548
407,90319,201905,-0.077117,0.07242923085688341
408,91233,202107,0.058314,0.2437761193697297
409,92611,202009,-0.056701,0.05502067419777945
410,92611,202111,-0.083227,0.16663999090016052
411,59408,202110,0.125559,0.15977981559857496
412,47896,202003,-0.224615,-0.17688447201534335
413,22111,201902,0.033514,-0.010586083726940365
414,90319,201909,0.025711,0.04246381622252787
415,92611,202012,0.039838,0.08855987011733041
416,91233,202009,-0.055892,-0.01542756152341812
417,22111,201808,0.023166,0.18289350687583034
418,14542,201805,0.066507,0.05403068868354316
419,47896,201807,0.108541,0.06498526490149148
420,91233,202106,0.012508,0.2500608324577824
421,11850,201801,0.043759,0.2078843817368829
422,22111,202003,-0.024911,0.043386165370330076
423,59408,202107,-0.069609,0.11330747172717642
424,90319,201802,-0.066231,0.12297191867541851
425,91233,202101,-0.112652,0.08645971374157807
426,90319,201904,0.018753,0.13435826257408617
427,92655,202104,0.071841,0.19441034866505075
428,55976,202006,-0.034499,0.12273068352583999
429,59408,202109,0.021796,0.14631694845795146
430,47896,201909,0.071273,-0.11552261418962706
431,91233,202104,0.074287,0.22120336236398158
432,11850,201807,-0.014747,0.21653289673557524
433,18163,202112,0.131415,0.22691264238030245
434,66181,202108,-0.006125,0.2797998376049606
435,90319,202004,0.159,-0.03888595616129675
436,91233,202103,0.006217,0.19767951121711064
437,22111,201803,-0.01332,0.035195374610066776
438,18163,202108,0.001125,0.22441089027028321
439,22111,201906,0.06199,0.05876731621819575
440,59408,202105,0.045892,0.0980293934725644
441,66181,202105,-0.014706,0.2591962477556569
442,22111,201911,0.04847,0.038649449106151645
443,66181,202110,0.132456,0.29135414877088134
444,22111,201901,0.031228,-0.0028833414779872446
445,18163,202010,-0.007909,0.1625862828010109
446,18163,202111,0.01112,0.21608379902150093
