,permno,DATE,pred,RET
85,84788,202004,0.026713502,0.2689
86,84788,201810,0.0012219725,-0.202192
87,14593,201908,0.015344819,-0.01657
88,84788,201905,0.00101576,-0.078613
89,10107,201906,-0.0017282423,0.083118
90,14593,201909,0.015344904,0.072962
91,14542,202111,0.027787015,-0.039242
92,84788,202003,0.011291993,0.035021
93,84788,201907,0.00074611884,-0.014179
94,14542,202109,0.027768705,-0.083847
95,84788,201908,0.00071173813,-0.048474
96,14593,201905,0.015352562,-0.123735
97,84788,202001,0.0007316498,0.087064
98,14593,201808,0.001067969,0.200063
99,14593,201806,0.0010632826,-0.009418
100,14542,202112,0.027783621,0.015637
101,13407,202109,0.027745038,-0.105409
102,10107,201904,-0.0017048558,0.107343
103,14593,201803,0.0010499936,-0.058051
104,14593,201907,0.015345661,0.076394
105,14593,201807,0.0010641487,0.027983
106,14593,201904,0.015353084,0.056436
107,84788,201912,0.00072719343,0.026122
108,90319,202111,0.027788177,-0.041531
110,84788,201911,0.0007263711,0.013587
111,84788,201909,0.00071964413,-0.022733
112,10107,201810,-0.0014192807,-0.066101
113,84788,201904,0.0010357304,0.081859
114,84788,201906,0.0009590369,0.066792
115,90319,202109,0.027769942,-0.076169
117,84788,201808,0.001175127,0.132365
118,14542,202108,0.027757026,0.075735
119,10107,201809,-0.0013886783,0.018161
120,14593,201801,0.0010363916,-0.010636
121,10107,201903,-0.001702467,0.052754
122,84788,201910,0.00072890986,0.023475
123,90319,202112,0.027783554,0.020821
124,10107,201812,-0.001644128,-0.084047
125,14593,201802,0.0010393495,0.06761
126,13407,202108,0.027742311,0.064777
127,14542,202110,0.02778592,0.112595
128,14593,201812,0.0010872269,-0.116698
130,84788,201902,0.0010636877,-0.045906
131,13407,202107,0.02774166,0.024704
132,14593,201804,0.0010565016,-0.01502
133,84788,201807,0.0012141131,0.045676
134,84788,201812,0.0011078175,-0.11135
135,10107,201811,-0.001493711,0.042505
136,86580,202112,0.021908859,-0.099798
137,14593,201903,0.0010910481,0.097026
138,10107,201808,-0.0014027357,0.062877
139,14593,201805,0.0010593366,0.135181
140,90319,202108,0.027758505,0.074009
141,84788,201903,0.0010530809,0.085936
142,13407,202110,0.0277257,-0.046613
143,14593,201906,0.0153459795,0.130519
144,14542,202107,0.027727492,0.07904
145,90319,202110,0.02778595,0.107499
146,10107,201902,-0.0016934732,0.077181
148,84788,201806,0.0012703929,0.043065
150,13407,202106,0.02774699,0.057737
151,14593,201902,0.0010912046,0.044701
152,84788,201811,0.0011745291,0.057672
153,10107,201901,-0.0016859509,0.028158
154,14542,202106,0.027741626,0.039294
155,14542,202105,0.027760416,0.000597
156,13407,202105,0.027773049,0.011228
157,93436,202110,0.023923688,0.43653
159,13407,202112,0.027724646,0.036646
160,13407,202111,0.027728714,0.002751
161,93436,202102,0.019781826,-0.14874
162,84788,201805,0.0012715962,0.040539
163,10107,201806,-0.0013989909,-0.002327
164,10107,201807,-0.0013987059,0.075753
169,14593,201901,0.0010886351,0.055154
171,93436,202109,0.023922224,0.054042
172,90319,202107,0.027727555,0.103506
173,84788,201901,0.0010786168,0.144317
174,84788,201803,0.0012951512,-0.043049
175,10107,201802,-0.001359337,-0.008631
177,10107,201803,-0.0013776962,-0.026661
180,10107,201805,-0.0013908995,0.061377
182,90319,202106,0.027740773,0.03604
183,90319,202105,0.027759638,0.001423
184,13407,202104,0.027798343,0.103725
185,13407,202009,0.025950383,-0.106753
186,84788,201802,0.0013276339,0.042429
187,84788,201804,0.0012963722,0.082075
188,10107,201804,-0.0013764612,0.024652
191,93436,202105,0.020249048,-0.118713
193,93436,202108,0.023920063,0.070605
194,93436,202101,0.019647041,0.124506
195,14542,202104,0.027785439,0.16508
196,93436,202107,0.023917042,0.011034
197,14542,202103,0.027653612,0.015597
199,13407,202012,0.026193883,-0.013756
201,10107,201801,-0.0013505938,0.110708
202,13407,202101,0.026402183,-0.054291
204,93436,202103,0.020212904,-0.011207
205,93436,202104,0.020280395,0.062147
209,86580,202111,0.02192184,0.278054
212,13407,202011,0.026074726,0.052678
213,13407,202010,0.026052836,0.00462
217,13407,202102,0.026765265,-0.002748
218,90319,202104,0.027785767,0.14108
219,13407,202103,0.027600538,0.143273
221,13407,202008,0.025932316,0.155832
224,90319,202103,0.027650326,0.020085
226,93436,202106,0.020267483,0.087137
227,14542,202102,0.02679843,0.109558
232,14542,202012,0.026172897,-0.005032
234,14542,202101,0.026390102,0.047869
240,84788,201801,0.0013381531,0.240639
245,86580,202109,0.021934032,-0.074559
248,90319,202102,0.02679077,0.106465
251,13407,202007,0.025863,0.117144
254,14542,202009,0.0259584,-0.100711
255,13407,202006,0.02467752,0.008797
259,93436,202012,0.019566484,0.243252
261,14542,202011,0.026047375,0.086199
265,90319,202012,0.026171133,-0.001003
266,90319,202101,0.026388124,0.042633
267,86580,202110,0.021934818,0.234167
272,47896,202111,0.018667396,-0.065101
278,86580,202107,0.022806369,-0.025172
279,47896,202106,0.018494606,-0.052971
280,14542,202008,0.025933105,0.101972
282,13407,202001,0.0034187166,-0.016273
283,13407,202005,0.02463973,0.099555
284,90319,202009,0.025957108,-0.1006
285,47896,202110,0.018666748,0.043986
286,14542,202002,-0.0011565415,-0.066168
287,86580,202108,0.021949783,0.148213
288,14542,202010,0.026020098,0.103028
289,90319,202011,0.026046528,0.08557
290,13407,202002,0.0034296801,-0.046754
291,13407,201912,0.0034120725,0.017903
292,14542,202006,0.025576763,-0.010714
294,47896,202109,0.01863417,0.023382
297,14542,202007,0.025836658,0.049059
299,47896,202107,0.01861263,-0.018388
302,47896,202112,0.018668603,-0.003022
303,13407,201807,0.00083038583,-0.111877
305,13407,201908,0.0035359757,-0.044071
306,47896,202105,0.0184727,0.067811
308,13407,201905,0.0010982333,-0.082368
310,13407,201907,0.003539675,0.006373
311,47896,202104,0.018465254,0.016291
312,93436,202009,0.019504445,-0.139087
314,13407,202003,0.014155077,-0.133371
316,13407,201911,0.0034129098,0.052126
317,13407,201806,0.0007227035,0.013244
318,47896,202108,0.018621055,0.053828
319,14542,202001,-0.0011542607,0.072706
320,14542,202003,0.01131368,-0.131797
321,22111,202109,0.017734878,-0.067175
322,14542,202005,0.025502048,0.059511
323,22111,202108,0.017716601,0.011556
324,47896,202103,0.018262317,0.034382
325,14542,201912,-0.0011450369,0.024568
327,13407,201802,0.00063912664,-0.045856
329,90319,202008,0.025933746,0.095151
330,13407,201909,0.003530074,-0.040879
332,22111,202106,0.017064001,-0.026647
338,90319,202010,0.026018979,0.102695
340,47896,202001,0.0032627909,-0.044046
343,92655,202111,0.018145204,-0.03529
345,22111,202107,0.017695477,0.045283
347,55976,202012,0.013687206,-0.053014
348,14542,201911,-0.0011383956,0.035592
349,22111,202104,0.017098967,-0.009857
352,90319,202006,0.02557503,-0.010792
353,90319,202002,-0.0011520823,-0.065279
354,22111,202102,0.016912892,-0.022436
356,13407,201910,0.0034148945,0.076202
357,22111,202111,0.01774588,-0.036162
359,22111,202105,0.017077018,0.04658
361,13407,201803,0.0006782524,-0.103914
362,13407,201906,0.0011156267,0.087508
363,14542,201809,-0.00053543784,-0.020292
364,14542,201808,-0.00053235795,0.000764
365,90319,202007,0.025835257,0.049293
367,22111,202110,0.01773753,0.008545
371,13407,201809,0.000825556,-0.064132
373,13407,201801,0.00061658025,0.059107
374,14542,201908,-0.0010989513,-0.02349
381,14542,201910,-0.0011041518,0.033724
382,92655,202112,0.018137045,0.13365
383,66181,202112,0.0135478955,0.040064
385,14542,201810,-0.0005125189,-0.097782
387,55976,202111,0.014376524,-0.058827
389,22111,202103,0.017050782,0.03717
390,13407,201808,0.000850399,0.018252
393,92611,202108,0.017696597,-0.068875
395,47896,202002,0.0032506492,-0.122771
396,55976,202109,0.014372064,-0.058879
398,22111,202101,0.016817218,0.036536
399,14542,201905,-0.0005564084,-0.071394
400,47896,201912,0.003271996,0.057984
401,14542,201909,-0.0011009211,0.026008
402,13407,201805,0.00071175024,0.115
406,22111,202112,0.017747015,0.097095
408,14542,201802,0.002604993,-0.055738
409,14542,201904,-0.00054874737,0.012929
412,55976,202101,0.013808564,-0.02539
417,93436,202010,0.019530889,-0.095499
421,86580,202106,0.022848785,0.231586
