,permno,DATE,pred,RET
97,84788,202001,0.019420408,0.087064
98,14593,201808,0.01953615,0.200063
99,14593,201806,0.019610701,-0.009418
100,14542,202112,0.019817945,0.015637
101,13407,202109,0.019959379,-0.105409
102,10107,201904,0.020053722,0.107343
103,14593,201803,0.020150706,-0.058051
104,14593,201907,0.020238033,0.076394
105,14593,201807,0.020309389,0.027983
106,14593,201904,0.020372327,0.056436
107,84788,201912,0.020428993,0.026122
108,90319,202111,0.020478532,-0.041531
110,84788,201911,0.020522375,0.013587
111,84788,201909,0.02054569,-0.022733
112,10107,201810,0.020598024,-0.066101
113,84788,201904,0.020656835,0.081859
114,84788,201906,0.020702504,0.066792
115,90319,202109,0.020677399,-0.076169
117,84788,201808,0.020701066,0.132365
118,14542,202108,0.020720296,0.075735
119,10107,201809,0.020741051,0.018161
120,14593,201801,0.02075731,-0.010636
121,10107,201903,0.020772116,0.052754
122,84788,201910,0.020786652,0.023475
123,90319,202112,0.020798711,0.020821
124,10107,201812,0.020810045,-0.084047
125,14593,201802,0.020820355,0.06761
126,13407,202108,0.02082985,0.064777
127,14542,202110,0.020838458,0.112595
128,14593,201812,0.020852746,-0.116698
130,84788,201902,0.022157742,-0.045906
131,13407,202107,0.02080823,0.024704
132,14593,201804,0.020835333,-0.01502
133,84788,201807,0.020790908,0.045676
134,84788,201812,0.021376884,-0.11135
135,10107,201811,0.02083475,0.042505
136,86580,202112,0.020844335,-0.099798
137,14593,201903,0.020832721,0.097026
138,10107,201808,0.020869527,0.062877
139,14593,201805,0.020869888,0.135181
140,90319,202108,0.020869208,0.074009
141,84788,201903,0.021304425,0.085936
142,13407,202110,0.02085884,-0.046613
143,14593,201906,0.020912254,0.130519
144,14542,202107,0.020858413,0.07904
145,90319,202110,0.020889986,0.107499
146,10107,201902,0.020888364,0.077181
148,84788,201806,0.020888695,0.043065
150,13407,202106,0.020894649,0.057737
151,14593,201902,0.02089854,0.044701
152,84788,201811,0.021350535,0.057672
153,10107,201901,0.02093774,0.028158
154,14542,202106,0.02089198,0.039294
155,14542,202105,0.020879854,0.000597
156,13407,202105,0.020901922,0.011228
157,93436,202110,0.020904917,0.43653
159,13407,202112,0.020902814,0.036646
160,13407,202111,0.020906754,0.002751
161,93436,202102,0.020910753,-0.14874
162,84788,201805,0.020911813,0.040539
163,10107,201806,0.020913765,-0.002327
164,10107,201807,0.020915851,0.075753
169,14593,201901,0.023275232,0.055154
171,93436,202109,0.020911906,0.054042
172,90319,202107,0.020958854,0.103506
173,84788,201901,0.026238129,0.144317
174,84788,201803,0.020899603,-0.043049
175,10107,201802,0.020829689,-0.008631
177,10107,201803,0.020747846,-0.026661
180,10107,201805,0.020889383,0.061377
182,90319,202106,0.020874105,0.03604
183,90319,202105,0.020853028,0.001423
184,13407,202104,0.020872414,0.103725
185,13407,202009,0.020901922,-0.106753
186,84788,201802,0.020881344,0.042429
187,84788,201804,0.020886987,0.082075
188,10107,201804,0.020891547,0.024652
191,93436,202105,0.020896193,-0.118713
193,93436,202108,0.020899503,0.070605
194,93436,202101,0.020905385,0.124506
195,14542,202104,0.020905787,0.16508
196,93436,202107,0.020908732,0.011034
197,14542,202103,0.02091118,0.015597
199,13407,202012,0.020918319,-0.013756
201,10107,201801,0.020915676,0.110708
202,13407,202101,0.020918075,-0.054291
204,93436,202103,0.02092656,-0.011207
205,93436,202104,0.04433221,0.062147
209,86580,202111,0.021251582,0.278054
212,13407,202011,0.021122877,0.052678
213,13407,202010,0.02117555,0.00462
217,13407,202102,0.02083483,-0.002748
218,90319,202104,0.020900901,0.14108
219,13407,202103,0.020803763,0.143273
221,13407,202008,0.020947807,0.155832
224,90319,202103,0.020868238,0.020085
226,93436,202106,0.020866955,0.087137
227,14542,202102,0.020865506,0.109558
232,14542,202012,0.020880595,-0.005032
234,14542,202101,0.020884499,0.047869
240,84788,201801,0.02088761,0.240639
245,86580,202109,0.020893056,-0.074559
248,90319,202102,0.020897519,0.106465
251,13407,202007,0.024198044,0.117144
254,14542,202009,0.020878503,-0.100711
255,13407,202006,0.02094005,0.008797
259,93436,202012,0.020807711,0.243252
261,14542,202011,0.020901905,0.086199
265,90319,202012,0.020882506,-0.001003
266,90319,202101,0.02086969,0.042633
267,86580,202110,0.020887112,0.234167
272,47896,202111,0.02089372,-0.065101
278,86580,202107,0.020894406,-0.025172
279,47896,202106,0.020898957,-0.052971
280,14542,202008,0.020912422,0.101972
282,13407,202001,0.020906202,-0.016273
283,13407,202005,0.02258742,0.099555
284,90319,202009,0.020864327,-0.1006
285,47896,202110,0.020886706,0.043986
286,14542,202002,0.02082542,-0.066168
287,86580,202108,0.0209107,0.148213
288,14542,202010,0.020929622,0.103028
289,90319,202011,0.020889178,0.08557
290,13407,202002,0.020901337,-0.046754
291,13407,201912,0.02090603,0.017903
292,14542,202006,0.0209429,-0.010714
294,47896,202109,0.020909213,0.023382
297,14542,202007,0.021144979,0.049059
299,47896,202107,0.020901404,-0.018388
302,47896,202112,0.020914556,-0.003022
303,13407,201807,0.020905796,-0.111877
305,13407,201908,0.020920295,-0.044071
306,47896,202105,0.020921186,0.067811
308,13407,201905,0.02092088,-0.082368
310,13407,201907,0.020923987,0.006373
311,47896,202104,0.02092614,0.016291
312,93436,202009,0.021851595,-0.139087
314,13407,202003,-0.13639098,-0.133371
316,13407,201911,0.018904343,0.052126
317,13407,201806,0.019506862,0.013244
318,47896,202108,0.018255236,0.053828
319,14542,202001,0.018555177,0.072706
